,stoc_ot_senemb_nn_cache,stoc_ot_corremb_nn_cache,simple_ot_senemb_nn_cache,simple_ot_corremb_nn_cache,simple_proc_senemb_nn_cache,simple_proc_corremb_nn_cache,lexicon_induction_sememb_nn_cache,lexicon_induction_corremb_nn_cache
0,0.3625,0.4375,0.3125,0.2625,0.375,0.45,0.625,0.5125
1,0.4,0.50625,0.3125,0.2375,0.38125,0.475,0.65,0.5625
2,0.4625,0.5583333333333333,0.32916666666666666,0.26666666666666666,0.42083333333333334,0.5708333333333333,0.65,0.6125
3,0.475,0.625,0.36875,0.303125,0.453125,0.653125,0.70625,0.609375
4,0.505,0.655,0.41,0.3175,0.5,0.6825,0.725,0.6475
