,stoc_ot_senemb_nn_cache,stoc_ot_corremb_nn_cache,simple_ot_senemb_nn_cache,simple_ot_corremb_nn_cache,simple_proc_senemb_nn_cache,simple_proc_corremb_nn_cache,lexicon_induction_sememb_nn_cache,lexicon_induction_corremb_nn_cache
0,0.3625,0.375,0.3,0.2875,0.325,0.425,0.6625,0.5125
1,0.4,0.41875,0.28125,0.25625,0.35625,0.45,0.63125,0.5625
2,0.4666666666666667,0.5083333333333333,0.32916666666666666,0.29583333333333334,0.4166666666666667,0.55,0.65,0.6125
3,0.484375,0.5625,0.36875,0.35,0.45625,0.640625,0.709375,0.609375
4,0.52,0.6,0.405,0.41,0.5175,0.6875,0.715,0.6475
