,stoc_ot_senemb_nn_cache,stoc_ot_corremb_nn_cache,simple_ot_senemb_nn_cache,simple_ot_corremb_nn_cache,simple_proc_senemb_nn_cache,simple_proc_corremb_nn_cache,lexicon_induction_sememb_nn_cache,lexicon_induction_corremb_nn_cache
0,0.4,0.4625,0.3875,0.2625,0.375,0.425,0.6375,0.5125
1,0.425,0.475,0.4125,0.25,0.4,0.4375,0.64375,0.5625
2,0.45,0.5333333333333333,0.425,0.2833333333333333,0.425,0.5291666666666667,0.6583333333333333,0.6125
3,0.484375,0.603125,0.509375,0.328125,0.509375,0.61875,0.6875,0.609375
4,0.5375,0.6325,0.5475,0.4,0.545,0.6475,0.7375,0.6475
