,stoc_ot_senemb_nn_cache,stoc_ot_corremb_nn_cache,simple_ot_senemb_nn_cache,simple_ot_corremb_nn_cache,simple_proc_senemb_nn_cache,simple_proc_corremb_nn_cache,lexicon_induction_sememb_nn_cache,lexicon_induction_corremb_nn_cache
0,0.35,0.3875,0.325,0.2625,0.3375,0.5,0.65,0.5125
1,0.3625,0.4,0.33125,0.23125,0.3375,0.5125,0.64375,0.5625
2,0.4083333333333333,0.5,0.325,0.2625,0.39166666666666666,0.575,0.6541666666666667,0.6125
3,0.440625,0.55625,0.384375,0.290625,0.4375,0.640625,0.7125,0.609375
4,0.4725,0.6075,0.41,0.3225,0.47,0.695,0.725,0.6475
