,stoc_ot_senemb_nn_cache,stoc_ot_corremb_nn_cache,simple_ot_senemb_nn_cache,simple_ot_corremb_nn_cache,simple_proc_senemb_nn_cache,simple_proc_corremb_nn_cache,lexicon_induction_sememb_nn_cache,lexicon_induction_corremb_nn_cache
0,0.3875,0.4,0.2875,0.275,0.3375,0.4875,0.6625,0.5125
1,0.39375,0.49375,0.275,0.25625,0.36875,0.48125,0.6125,0.5625
2,0.44166666666666665,0.5708333333333333,0.29583333333333334,0.2875,0.4083333333333333,0.5458333333333333,0.6416666666666667,0.6125
3,0.509375,0.621875,0.359375,0.3875,0.46875,0.625,0.71875,0.609375
4,0.5525,0.685,0.405,0.455,0.5375,0.67,0.7375,0.6475
