,stoc_ot_senemb_nn_cache,stoc_ot_corremb_nn_cache,simple_ot_senemb_nn_cache,simple_ot_corremb_nn_cache,simple_proc_senemb_nn_cache,simple_proc_corremb_nn_cache,lexicon_induction_sememb_nn_cache,lexicon_induction_corremb_nn_cache
0,0.4125,0.375,0.325,0.2625,0.3125,0.5,0.675,0.5125
1,0.4375,0.4125,0.31875,0.2375,0.325,0.54375,0.64375,0.5625
2,0.45416666666666666,0.5291666666666667,0.3416666666666667,0.275,0.37916666666666665,0.6166666666666667,0.6541666666666667,0.6125
3,0.5,0.55625,0.39375,0.29375,0.44375,0.634375,0.690625,0.609375
4,0.5425,0.62,0.4325,0.3275,0.5,0.695,0.735,0.6475
