,stoc_ot_senemb_nn_cache,stoc_ot_corremb_nn_cache,simple_ot_senemb_nn_cache,simple_ot_corremb_nn_cache,simple_proc_senemb_nn_cache,simple_proc_corremb_nn_cache,lexicon_induction_sememb_nn_cache,lexicon_induction_corremb_nn_cache
0,0.4,0.4,0.3,0.2875,0.35,0.375,0.65,0.5125
1,0.3625,0.41875,0.24375,0.25,0.34375,0.39375,0.6375,0.5625
2,0.425,0.5166666666666667,0.30416666666666664,0.2625,0.425,0.5083333333333333,0.65,0.6125
3,0.4625,0.56875,0.365625,0.325,0.478125,0.5875,0.709375,0.609375
4,0.52,0.615,0.3925,0.42,0.5175,0.6225,0.735,0.6475
