,stoc_ot_senemb_nn_cache,stoc_ot_corremb_nn_cache,simple_ot_senemb_nn_cache,simple_ot_corremb_nn_cache,simple_proc_senemb_nn_cache,simple_proc_corremb_nn_cache,lexicon_induction_sememb_nn_cache,lexicon_induction_corremb_nn_cache
0,0.3875,0.4375,0.2875,0.2625,0.35,0.4375,0.65,0.5125
1,0.4375,0.51875,0.26875,0.2375,0.3625,0.49375,0.63125,0.5625
2,0.44166666666666665,0.55,0.2916666666666667,0.26666666666666666,0.38333333333333336,0.5333333333333333,0.6458333333333334,0.6125
3,0.49375,0.590625,0.36875,0.303125,0.4625,0.603125,0.696875,0.609375
4,0.5275,0.6675,0.4025,0.36,0.52,0.6675,0.7375,0.6475
