,stoc_ot_senemb_nn_cache,stoc_ot_corremb_nn_cache,simple_ot_senemb_nn_cache,simple_ot_corremb_nn_cache,simple_proc_senemb_nn_cache,simple_proc_corremb_nn_cache,lexicon_induction_sememb_nn_cache,lexicon_induction_corremb_nn_cache
0,0.4375,0.45,0.3,0.275,0.2875,0.3625,0.65,0.5125
1,0.45625,0.4875,0.325,0.25625,0.3125,0.425,0.61875,0.5625
2,0.4875,0.5333333333333333,0.375,0.2791666666666667,0.375,0.5125,0.6583333333333333,0.6125
3,0.54375,0.60625,0.396875,0.315625,0.396875,0.58125,0.6875,0.609375
4,0.5825,0.675,0.44,0.3525,0.435,0.6175,0.73,0.6475
