,stoc_ot_senemb_nn_cache,stoc_ot_corremb_nn_cache,simple_ot_senemb_nn_cache,simple_ot_corremb_nn_cache,simple_proc_senemb_nn_cache,simple_proc_corremb_nn_cache,lexicon_induction_sememb_nn_cache,lexicon_induction_corremb_nn_cache
0,0.3625,0.3625,0.375,0.3,0.3625,0.4625,0.6625,0.5125
1,0.4,0.40625,0.38125,0.3125,0.375,0.475,0.6375,0.5625
2,0.42916666666666664,0.5333333333333333,0.4083333333333333,0.3958333333333333,0.4083333333333333,0.5458333333333333,0.6666666666666666,0.6125
3,0.50625,0.575,0.484375,0.459375,0.4875,0.659375,0.709375,0.609375
4,0.55,0.6375,0.545,0.4975,0.5375,0.6825,0.725,0.6475
