id,idx_1,word_1,idx_2,word_2
218,5,apologetic,33,skeptical
219,5,apologetic,34,surprised
220,5,apologetic,35,sympathetic
221,5,apologetic,36,thankful
222,5,apologetic,37,uncertain
223,5,apologetic,38,urgent
224,5,apologetic,39,worried
225,6,appreciative,6,appreciative
226,6,appreciative,7,concerned
227,6,appreciative,8,confused
228,6,appreciative,9,curious
229,6,appreciative,10,defensive
230,6,appreciative,11,descriptive
231,6,appreciative,12,desperate
232,6,appreciative,13,disappointed
233,6,appreciative,14,encouraging
234,6,appreciative,15,excited
235,6,appreciative,16,friendly
236,6,appreciative,17,frustrated
237,6,appreciative,18,grateful
238,6,appreciative,19,happy
239,6,appreciative,20,indignant
240,6,appreciative,21,irritated
241,6,appreciative,22,joyful
242,6,appreciative,23,nostalgic
243,6,appreciative,24,pleased
244,6,appreciative,25,proud
245,6,appreciative,26,reassuring
246,6,appreciative,27,reflective
247,6,appreciative,28,relieved
248,6,appreciative,29,resigned
249,6,appreciative,30,sad
250,6,appreciative,31,sarcastic
251,6,appreciative,32,shocked
252,6,appreciative,33,skeptical
253,6,appreciative,34,surprised
254,6,appreciative,35,sympathetic
255,6,appreciative,36,thankful
256,6,appreciative,37,uncertain
257,6,appreciative,38,urgent
258,6,appreciative,39,worried
259,7,concerned,7,concerned
260,7,concerned,8,confused
261,7,concerned,9,curious
262,7,concerned,10,defensive
263,7,concerned,11,descriptive
264,7,concerned,12,desperate
265,7,concerned,13,disappointed
266,7,concerned,14,encouraging
267,7,concerned,15,excited
268,7,concerned,16,friendly
269,7,concerned,17,frustrated
270,7,concerned,18,grateful
271,7,concerned,19,happy
272,7,concerned,20,indignant
273,7,concerned,21,irritated
274,7,concerned,22,joyful
275,7,concerned,23,nostalgic
276,7,concerned,24,pleased
277,7,concerned,25,proud
278,7,concerned,26,reassuring
279,7,concerned,27,reflective
280,7,concerned,28,relieved
281,7,concerned,29,resigned
282,7,concerned,30,sad
283,7,concerned,31,sarcastic
284,7,concerned,32,shocked
285,7,concerned,33,skeptical
286,7,concerned,34,surprised
287,7,concerned,35,sympathetic
288,7,concerned,36,thankful
289,7,concerned,37,uncertain
290,7,concerned,38,urgent
291,7,concerned,39,worried
292,8,confused,8,confused
293,8,confused,9,curious
294,8,confused,10,defensive
295,8,confused,11,descriptive
296,8,confused,12,desperate
297,8,confused,13,disappointed
298,8,confused,14,encouraging
299,8,confused,15,excited
300,8,confused,16,friendly
301,8,confused,17,frustrated
302,8,confused,18,grateful
303,8,confused,19,happy
304,8,confused,20,indignant
305,8,confused,21,irritated
306,8,confused,22,joyful
307,8,confused,23,nostalgic
308,8,confused,24,pleased
309,8,confused,25,proud
310,8,confused,26,reassuring
311,8,confused,27,reflective
312,8,confused,28,relieved
313,8,confused,29,resigned
314,8,confused,30,sad
315,8,confused,31,sarcastic
316,8,confused,32,shocked
317,8,confused,33,skeptical
318,8,confused,34,surprised
319,8,confused,35,sympathetic
320,8,confused,36,thankful
321,8,confused,37,uncertain
322,8,confused,38,urgent
323,8,confused,39,worried
324,9,curious,9,curious
325,9,curious,10,defensive
326,9,curious,11,descriptive
327,9,curious,12,desperate
328,9,curious,13,disappointed
329,9,curious,14,encouraging
330,9,curious,15,excited
331,9,curious,16,friendly
332,9,curious,17,frustrated
333,9,curious,18,grateful
334,9,curious,19,happy
335,9,curious,20,indignant
336,9,curious,21,irritated
337,9,curious,22,joyful
338,9,curious,23,nostalgic
339,9,curious,24,pleased
340,9,curious,25,proud
341,9,curious,26,reassuring
342,9,curious,27,reflective
343,9,curious,28,relieved
344,9,curious,29,resigned
345,9,curious,30,sad
346,9,curious,31,sarcastic
347,9,curious,32,shocked
348,9,curious,33,skeptical
349,9,curious,34,surprised
350,9,curious,35,sympathetic
351,9,curious,36,thankful
352,9,curious,37,uncertain
353,9,curious,38,urgent
354,9,curious,39,worried
355,10,defensive,10,defensive
356,10,defensive,11,descriptive
357,10,defensive,12,desperate
358,10,defensive,13,disappointed
359,10,defensive,14,encouraging
360,10,defensive,15,excited
361,10,defensive,16,friendly
362,10,defensive,17,frustrated
363,10,defensive,18,grateful
364,10,defensive,19,happy
365,10,defensive,20,indignant
366,10,defensive,21,irritated
367,10,defensive,22,joyful
368,10,defensive,23,nostalgic
369,10,defensive,24,pleased
370,10,defensive,25,proud
371,10,defensive,26,reassuring
372,10,defensive,27,reflective
373,10,defensive,28,relieved
374,10,defensive,29,resigned
375,10,defensive,30,sad
376,10,defensive,31,sarcastic
377,10,defensive,32,shocked
378,10,defensive,33,skeptical
379,10,defensive,34,surprised
380,10,defensive,35,sympathetic
381,10,defensive,36,thankful
382,10,defensive,37,uncertain
383,10,defensive,38,urgent
384,10,defensive,39,worried
385,11,descriptive,11,descriptive
386,11,descriptive,12,desperate
387,11,descriptive,13,disappointed
388,11,descriptive,14,encouraging
389,11,descriptive,15,excited
390,11,descriptive,16,friendly
391,11,descriptive,17,frustrated
392,11,descriptive,18,grateful
393,11,descriptive,19,happy
394,11,descriptive,20,indignant
395,11,descriptive,21,irritated
396,11,descriptive,22,joyful
397,11,descriptive,23,nostalgic
398,11,descriptive,24,pleased
399,11,descriptive,25,proud
400,11,descriptive,26,reassuring
401,11,descriptive,27,reflective
402,11,descriptive,28,relieved
403,11,descriptive,29,resigned
404,11,descriptive,30,sad
405,11,descriptive,31,sarcastic
406,11,descriptive,32,shocked
407,11,descriptive,33,skeptical
408,11,descriptive,34,surprised
409,11,descriptive,35,sympathetic
410,11,descriptive,36,thankful
